v1,v2
77,18
78,18
79,18
79,18
80,18
80,18
80,18
81,18
83,17
84,17
86,17
87,17
88,17
89,17
91,17
93,17
96,17
99,17
102,17
104,17
107,17
108,17
110,17
111,17
112,17
113,17
115,17
116,17
117,17
117,17
118,17
118,17
118,17
119,17
119,17
119,17
119,17
118,17
118,17
111,16
104,16
99,16
101,16
102,16
102,16
101,16
100,16
99,16
99,16
99,16
99,16
98,16
98,16
97,16
96,16
95,16
93,16
92,16
91,16
90,16
87,16
83,16
79,16
72,16
69,16
67,16
65,16
63,16
60,16
57,16
54,16
51,16
48,16
46,16
45,16
44,16
42,16
40,16
37,16
34,16
31,15
29,16
27,16
25,15
23,15
20,15
17,16
14,16
12,15
9,15
6,15
3,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
2,15
4,15
6,15
8,15
12,15
16,15
20,15
24,15
31,15
33,15
36,15
39,15
43,15
48,15
53,15
59,15
64,15
68,15
72,15
75,15
77,15
78,15
78,15
78,15
77,15
76,15
77,15
78,15
79,15
79,15
80,15
82,15
83,15
85,15
85,15
86,15
87,15
89,15
92,15
93,15
93,15
94,15
94,15
93,15
84,14
75,14
65,14
62,14
60,14
58,14
57,14
55,14
53,14
51,14
49,14
48,14
46,14
44,14
42,14
40,14
38,14
35,14
33,14
32,14
32,14
32,14
32,14
33,14
35,14
39,14
40,14
41,14
42,14
42,14
42,14
42,14
42,14
43,14
43,14
43,14
44,14
45,14
45,14
46,14
46,14
45,14
44,14
43,14
42,14
42,14
42,14
43,14
44,14
44,14
45,14
45,14
46,14
46,14
46,14
46,14
45,14
45,14
45,14
45,14
45,14
45,14
45,14
44,14
43,14
41,14
39,14
37,14
36,14
35,14
34,14
32,13
29,13
25,13
22,13
19,13
17,13
16,13
14,13
13,13
12,13
11,13
10,13
10,13
9,13
7,13
6,13
4,13
3,13
2,13
2,13
1,13
1,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,13
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,15
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,17
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
0,20
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,20
0,19
0,19
0,19
0,19
0,19
7,19
14,19
19,19
21,19
22,19
21,19
15,19
9,19
4,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
10,18
14,18
19,18
22,18
25,18
26,18
28,18
31,18
33,18
36,18
37,18
39,18
40,18
41,18
43,18
45,18
47,18
49,18
52,18
53,18
55,18
57,18
59,18
61,18
62,18
64,18
64,18
65,18
65,18
65,18
65,18
64,18
63,18
62,18
60,18
59,18
58,18
57,18
56,18
55,18
54,18
53,18
53,18
53,18
53,18
54,18
54,18
55,18
55,18
56,18
56,18
57,18
57,17
57,17
57,17
57,17
59,17
61,17
63,17
66,17
67,17
