min,ozone,cell_temp,cell_pressure,photo_diode_v,p_suppV,lat,long,alt,gps-Qual,date,time
1,24.1,303.6,579.8,0.58599,7.4,3617.50486,-10912.9575,2145.6,1,26/03/19,08:58:46
2,21.5,303.5,580.0,0.58394,7.4,3617.50183,-10912.9612,2158.6,1,26/03/19,08:59:46
3,25.3,303.4,580.1,0.58296,7.4,3617.50164,-10912.9555,2159.3,1,26/03/19,09:00:46
4,29.4,303.3,579.9,0.58187,7.4,3617.49165,-10912.9483,2160.2,1,26/03/19,09:01:46
5,35.3,303.3,580.9,0.58038,7.4,3617.49175,-10912.9491,2164.1,1,26/03/19,09:02:46
6,37.4,303.1,580.8,0.57866,7.4,3617.49265,-10912.9503,2158.5,1,26/03/19,09:03:46
7,38.2,303.1,580.6,0.57740,7.4,3617.49447,-10912.9492,2154.3,1,26/03/19,09:04:46
8,37.8,303.0,580.4,0.57628,7.4,3617.49138,-10912.9488,2159.2,1,26/03/19,09:05:46
9,36.9,303.0,580.3,0.57541,7.4,3617.49199,-10912.9489,2156.5,1,26/03/19,09:06:46
10,38.0,303.0,580.8,0.57489,7.4,3617.49391,-10912.9499,2157.7,1,26/03/19,09:07:46
11,37.7,303.0,580.1,0.57416,7.4,3617.49386,-10912.9485,2163.3,1,26/03/19,09:08:46
12,35.2,302.9,580.3,0.57355,7.4,3617.49374,-10912.9476,2158.3,1,26/03/19,09:09:46
13,32.6,302.9,580.6,0.57300,7.4,3617.49368,-10912.9476,2158.2,1,26/03/19,09:10:46
14,33.7,302.9,579.6,0.57251,7.4,3617.49303,-10912.9481,2157.8,1,26/03/19,09:11:46
15,36.1,302.9,580.7,0.57207,7.4,3617.49248,-10912.9507,2160.2,1,26/03/19,09:12:46
16,36.9,302.9,580.6,0.57145,7.4,3617.49252,-10912.9490,2156.1,1,26/03/19,09:13:46
17,37.0,302.9,580.2,0.57078,7.4,3617.49248,-10912.9509,2155.3,1,26/03/19,09:14:46
18,38.3,302.9,580.5,0.56994,7.4,3617.49366,-10912.9498,2154.3,1,26/03/19,09:15:46
19,38.8,302.8,579.6,0.56910,7.4,3617.48949,-10912.9480,2147.3,1,26/03/19,09:16:46
20,40.5,302.8,580.7,0.56848,7.4,3617.49140,-10912.9478,2154.7,1,26/03/19,09:17:46
21,40.5,302.8,579.2,0.56795,7.4,3617.49323,-10912.9477,2163.8,1,26/03/19,09:18:46
22,40.0,302.8,579.5,0.56752,7.4,3617.49314,-10912.9487,2160.7,1,26/03/19,09:19:46
23,38.7,302.8,579.3,0.56721,7.4,3617.49332,-10912.9481,2160.3,1,26/03/19,09:20:46
24,41.5,302.8,579.7,0.56696,7.4,3617.49355,-10912.9501,2163.1,1,26/03/19,09:21:46
25,42.9,302.8,579.8,0.56702,7.4,3617.49324,-10912.9489,2158.0,1,26/03/19,09:22:46
26,42.7,302.8,580.5,0.56725,7.4,3617.49381,-10912.9490,2162.2,1,26/03/19,09:23:46
27,42.8,302.8,579.9,0.56737,7.4,3617.49122,-10912.9488,2164.3,1,26/03/19,09:24:46
28,44.4,302.8,580.3,0.56738,7.4,3617.49517,-10912.9453,2165.8,1,26/03/19,09:25:46
29,45.0,302.8,579.4,0.56749,7.4,3617.49584,-10912.9536,2159.6,1,26/03/19,09:26:46
30,46.0,302.8,572.4,0.56770,7.4,3617.52287,-10912.9882,2165.3,1,26/03/19,09:27:46
31,54.7,302.8,552.3,0.56756,7.4,3617.70001,-10913.0364,2554.6,1,26/03/19,09:28:46
32,58.1,302.8,532.4,0.56711,7.4,3617.94972,-10912.9032,2864.6,1,26/03/19,09:29:46
33,57.3,302.8,511.6,0.56627,7.4,3618.19204,-10912.7542,3172.2,1,26/03/19,09:30:46
34,61.7,302.7,492.5,0.56510,7.4,3618.40177,-10912.5606,3481.0,1,26/03/19,09:31:46
35,62.6,302.7,472.3,0.56344,7.4,3618.62512,-10912.3962,3806.5,1,26/03/19,09:32:46
36,59.8,302.7,453.0,0.56124,7.4,3618.92556,-10912.2038,4147.1,1,26/03/19,09:33:46
37,57.6,302.7,433.6,0.55865,7.4,3619.26930,-10911.8756,4477.7,1,26/03/19,09:34:46
38,55.4,302.7,415.3,0.55546,7.4,3619.58372,-10911.5357,4814.2,1,26/03/19,09:35:46
39,57.7,302.7,397.9,0.55183,7.4,3619.94507,-10911.3026,5145.2,1,26/03/19,09:36:46
40,64.9,302.7,380.0,0.54795,7.4,3620.25508,-10911.1088,5486.7,1,26/03/19,09:37:46
41,63.3,302.7,361.2,0.54397,7.4,3620.59106,-10910.7933,5854.7,1,26/03/19,09:38:46
42,58.3,302.7,344.4,0.53912,7.4,3620.97039,-10910.4687,6209.3,1,26/03/19,09:39:46
43,64.8,302.7,329.0,0.53344,7.4,3621.32659,-10910.0630,6559.4,1,26/03/19,09:40:46
44,62.9,302.8,313.2,0.52758,7.3,3621.66277,-10909.6091,6917.8,1,26/03/19,09:41:46
45,61.7,302.9,297.8,0.52140,7.3,3621.98103,-10909.1885,7286.5,1,26/03/19,09:42:46
46,65.0,303.0,282.1,0.51458,7.3,3622.19452,-10908.7900,7668.7,1,26/03/19,09:43:46
47,67.5,303.0,266.9,0.50690,7.3,3622.35206,-10908.4586,8051.5,1,26/03/19,09:44:46
48,60.9,303.1,252.4,0.49833,7.3,3622.51708,-10908.1030,8419.0,1,26/03/19,09:45:46
49,72.1,303.0,238.5,0.48873,7.3,3622.76961,-10907.5761,8816.8,1,26/03/19,09:46:46
50,68.0,302.9,225.1,0.47803,7.3,3623.04758,-10906.9704,9206.4,1,26/03/19,09:47:46
51,74.8,302.5,210.6,0.46664,7.3,3623.32053,-10906.3298,9633.3,1,26/03/19,09:48:46
52,59.0,301.9,196.4,0.45385,7.3,3623.56907,-10905.5852,10063.5,1,26/03/19,09:49:46
53,63.6,300.7,183.9,0.43954,7.3,3623.77679,-10904.7350,10509.1,1,26/03/19,09:50:46
54,105.5,299.0,171.8,0.42390,7.3,3623.88521,-10903.8197,10941.0,1,26/03/19,09:51:46
55,35.9,296.4,160.8,0.40764,7.3,3623.95589,-10902.9147,11342.2,1,26/03/19,09:52:46
56,46.0,292.9,149.7,0.39000,7.3,3624.09874,-10902.0424,11757.5,1,26/03/19,09:53:46
57,61.4,288.3,138.6,0.37113,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:54:46
58,69.1,283.2,129.6,0.35140,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:55:46
59,79.0,277.9,124.1,0.33379,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:56:46
60,54.9,275.8,116.6,0.31692,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:57:46
61,275.3,275.4,110.9,0.30035,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:58:46
62,335.0,275.2,106.7,0.28584,7.2,0000.00000,00000.00000,0.0,0,26/03/19,09:59:46
63,389.3,275.1,103.0,0.27341,7.2,0000.00000,00000.00000,0.0,0,26/03/19,10:00:46
64,300.6,275.0,98.8,0.26215,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:01:46
65,273.0,274.9,95.8,0.25112,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:02:46
66,207.1,274.8,91.9,0.24136,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:03:46
67,253.2,274.7,86.5,0.23154,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:04:46
68,603.4,274.7,83.5,0.22235,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:05:46
69,554.0,274.6,80.8,0.21412,7.1,0000.00000,00000.00000,0.0,0,26/03/19,10:06:46
70,507.1,274.6,77.8,0.20659,7.0,0000.00000,00000.00000,0.0,0,26/03/19,10:07:46
71,237.8,274.5,75.1,0.19940,7.0,0000.00000,00000.00000,0.0,0,26/03/19,10:08:46
72,396.3,274.5,72.3,0.19240,7.0,0000.00000,00000.00000,0.0,0,26/03/19,10:09:46
73,224.5,274.5,69.6,0.18566,7.0,0000.00000,00000.00000,0.0,0,26/03/19,10:10:46
74,1101.0,274.5,67.5,0.17922,7.0,0000.00000,00000.00000,0.0,0,26/03/19,10:11:46
75,684.6,274.5,64.9,0.17313,6.9,0000.00000,00000.00000,0.0,0,26/03/19,10:12:46
76,693.6,274.4,62.2,0.16742,6.9,0000.00000,00000.00000,0.0,0,26/03/19,10:13:46
77,636.3,274.4,59.5,0.16208,6.9,0000.00000,00000.00000,0.0,0,26/03/19,10:14:46
78,567.6,274.4,57.4,0.15683,6.9,0000.00000,00000.00000,0.0,0,26/03/19,10:15:46
79,855.0,274.4,55.3,0.15186,6.9,0000.00000,00000.00000,0.0,0,26/03/19,10:16:46
80,776.1,274.4,53.1,0.14709,6.8,0000.00000,00000.00000,0.0,0,26/03/19,10:17:46
81,769.2,274.3,51.2,0.14261,6.8,0000.00000,00000.00000,0.0,0,26/03/19,10:18:46
82,1168.4,274.3,49.4,0.13827,6.8,0000.00000,00000.00000,0.0,0,26/03/19,10:19:46
83,1210.5,274.3,47.0,0.13418,6.8,0000.00000,00000.00000,0.0,0,26/03/19,10:20:46
84,1028.7,274.3,45.2,0.13027,6.8,0000.00000,00000.00000,0.0,0,26/03/19,10:21:46
85,1360.5,274.3,43.5,0.12628,6.7,0000.00000,00000.00000,0.0,0,26/03/19,10:22:46
86,1418.0,274.3,41.8,0.12269,6.7,0000.00000,00000.00000,0.0,0,26/03/19,10:23:46
87,1248.3,274.3,40.1,0.11937,6.7,0000.00000,00000.00000,0.0,0,26/03/19,10:24:46
88,1671.2,274.3,38.4,0.11608,6.7,0000.00000,00000.00000,0.0,0,26/03/19,10:25:46
89,2949.2,274.3,37.0,0.11186,6.7,0000.00000,00000.00000,0.0,0,26/03/19,10:26:46
90,1740.8,274.3,35.2,0.10905,6.6,0000.00000,00000.00000,0.0,0,26/03/19,10:27:46
91,1912.9,274.3,33.9,0.10641,6.6,0000.00000,00000.00000,0.0,0,26/03/19,10:28:46
92,2311.9,274.3,32.4,0.10389,6.6,0000.00000,00000.00000,0.0,0,26/03/19,10:29:46
93,2567.1,274.3,31.2,0.10156,6.6,0000.00000,00000.00000,0.0,0,26/03/19,10:30:46
94,2121.6,274.3,29.4,0.09933,6.5,0000.00000,00000.00000,0.0,0,26/03/19,10:31:46
95,2577.7,274.3,28.1,0.09723,6.5,0000.00000,00000.00000,0.0,0,26/03/19,10:32:46
96,2799.1,274.3,26.7,0.09535,6.5,0000.00000,00000.00000,0.0,0,26/03/19,10:33:46
97,2876.8,274.3,25.3,0.09353,6.5,0000.00000,00000.00000,0.0,0,26/03/19,10:34:46
98,3033.3,274.3,24.2,0.09188,6.5,0000.00000,00000.00000,0.0,0,26/03/19,10:35:46
